,title,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,vote_average,vote_count,poster_path,return,genre_1,genre_2
0,Black Panther: Wakanda Forever,en,Queen Ramonda Shuri M’Baku Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.,3952.862,Marvel Studios,2022-11-09,250000000.0,855099029.0,162.0,7.403,3586.0,/sv1xJUazXeYqALzczSZ3O6nkH75.jpg,3.420396116,Action,Adventure
1,Puss in Boots: The Last Wish,en,Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.,3351.139,Other,2022-12-07,90000000.0,442000000.0,103.0,8.461,4047.0,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,4.911111111111111,Animation,Adventure
2,Plane,en,After a heroic job of successfully landing his storm-damaged aircraft in a war zone a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.,3337.265,Other,2023-01-12,25000000.0,46000000.0,107.0,6.851,652.0,/qi9r5xBgcc9KTxlOLjssEbDgO0J.jpg,1.84,Action,Adventure
4,M3GAN,en,A brilliant toy company roboticist uses artificial intelligence to develop M3GAN a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well she becomes overprotective of her new friend with terrifying results.,1836.162,Other,2022-12-28,12000000.0,167643991.0,102.0,7.51,1794.0,/d9nBoowhjiiYc4FBNtQkPY7c11H.jpg,13.970332583333333,Science Fiction,Horror
5,Knock at the Cabin,en,While vacationing at a remote cabin a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world the family must decide what they believe before all is lost.,1677.354,Other,2023-02-01,20000000.0,52000000.0,100.0,6.525,546.0,/dm06L9pxDOL9jNSK4Cb6y139rrG.jpg,2.6,Horror,Mystery
6,The Whale,en,A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,1580.112,Other,2022-12-09,3000000.0,23907604.0,117.0,7.894,488.0,/jQ0gylJMxWSL490sy0RrPj1Lj7e.jpg,7.969201333333333,Drama,
7,Ant-Man and the Wasp: Quantumania,en,Super-Hero partners Scott Lang and Hope van Dyne along with with Hope's parents Janet van Dyne and Hank Pym and Scott's daughter Cassie Lang find themselves exploring the Quantum Realm interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.,1545.462,Other,2023-02-10,200000000.0,363614584.0,125.0,6.513,744.0,/ngl2FKBlU4fhbdsrtdom9LVLBXw.jpg,1.81807292,Adventure,Science Fiction
11,Avatar: The Way of Water,en,Set more than a decade after the events of the first film learn the story of the Sully family (Jake Neytiri and their kids) the trouble that follows them the lengths they go to keep each other safe the battles they fight to stay alive and the tragedies they endure.,1287.023,Other,2022-12-14,460000000.0,2267383862.0,192.0,7.736,5488.0,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,4.929095352173913,Science Fiction,Adventure
14,Black Adam,en,Nearly 5000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb ready to unleash his unique form of justice on the modern world.,924.248,Other,2022-10-19,200000000.0,392952111.0,125.0,7.167,4278.0,/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg,1.964760555,Action,Fantasy
17,Devotion,en,The harrowing true story of two elite US Navy fighter pilots during the Korean War. Their heroic sacrifices would ultimately make them the Navy's most celebrated wingmen.,822.191,Other,2022-11-23,90000000.0,20000000.0,139.0,7.433,336.0,/lwybGlEEJtXZM3ynY19PNwNlPn9.jpg,0.2222222222222222,War,History
28,Spider-Man: No Way Home,en,Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous forcing him to discover what it truly means to be Spider-Man.,608.696,Other,2021-12-15,200000000.0,1921847111.0,148.0,8.0,16821.0,/uJYYizSuA9Y3DCs0qS4qWvHfZg4.jpg,9.609235555,Action,Adventure
33,Avatar,en,In the 22nd century a paraplegic Marine is dispatched to the moon Pandora on a unique mission but becomes torn between following orders and protecting an alien civilization.,572.785,Other,2009-12-15,237000000.0,2920357254.0,162.0,7.566,28433.0,/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg,12.322182506329113,Action,Adventure
34,Babylon,en,A tale of outsized ambition and outrageous excess tracing the rise and fall of multiple characters in an era of unbridled decadence and depravity during Hollywood's transition from silent films and to sound films in the late 1920s.,554.149,Other,2022-12-22,78000000.0,56351455.0,189.0,7.583,1183.0,/wjOHjWCUE0YzDiEzKv8AfqHj3ir.jpg,0.7224545512820513,Drama,Comedy
35,Roald Dahl's Matilda the Musical,en,An extraordinary young girl discovers her superpower and summons the remarkable courage against all odds to help others change their stories whilst also taking charge of her own destiny. Standing up for what's right she's met with miraculous results.,548.57,Other,2022-11-25,25000000.0,13276499.0,117.0,6.917,496.0,/ga8R3OiOMMgSvZ4cOj8x7prUNYZ.jpg,0.53105996,Family,Comedy
36,Violent Night,en,When a team of mercenaries breaks into a wealthy family compound on Christmas Eve taking everyone inside hostage the team isn’t prepared for a surprise combatant: Santa Claus is on the grounds and he’s about to show why this Nick is no saint.,537.995,Other,2022-11-30,20000000.0,75734910.0,112.0,7.587,1228.0,/1XSYOP0JjjyMz1irihvWywro82r.jpg,3.7867455,Action,Comedy
